"Freq [GHz]","TEM mode []"
0.55675,-56.6171448876836
0.559,-56.5820629647145
0.56125,-56.5471221775724
0.5635,-56.5123213972204
0.56575,-56.4776595081129
0.568,-56.4431354079796
0.57025,-56.4087480076149
0.5725,-56.3744962306702
0.57475,-56.3403790134511
0.577,-56.3063953047179
0.57925,-56.2725440654908
0.5815,-56.2388242688582
0.58375,-56.205234899789
0.586,-56.1717749549483
0.58825,-56.1384434425171
0.5905,-56.1052393820148
0.59275,-56.0721618041255
0.595,-56.0392097505275
0.59725,-56.0063822737261
0.5995,-55.9736784368893
0.60175,-55.9410973136867
0.604,-55.9086379881318
0.60625,-55.8762995544262
0.6085,-55.8440811168081
0.61075,-55.8119817894021
0.613,-55.7800006960733
0.61525,-55.7481369702825
0.6175,-55.7163897549455
0.61975,-55.6847582022937
0.622,-55.6532414737383
0.62425,-55.6218387397361
0.6265,-55.5905491796584
0.62875,-55.5593719816615
0.631,-55.5283063425603
0.63325,-55.4973514677038
0.6355,-55.4665065708525
0.63775,-55.4357708740585
0.64,-55.4051436075473
0.64225,-55.374624009602
0.6445,-55.3442113264494
0.64675,-55.313904812148
0.649,-55.2837037284777
0.65125,-55.2536073448323
0.6535,-55.2236149381128
0.65575,-55.1937257926232
0.658,-55.1639391999678
0.66025,-55.1342544589504
0.6625,-55.1046708754751
0.66475,-55.0751877624489
0.667,-55.0458044396858
0.66925,-55.0165202338126
0.6715,-54.9873344781764
0.67375,-54.9582465127533
0.676,-54.9292556840589
0.67825,-54.9003613450607
0.6805,-54.8715628550906
0.68275,-54.8428595797605
0.685,-54.8142508908782
0.68725,-54.785736166365
0.6895,-54.7573147901745
0.69175,-54.7289861522134
0.694,-54.7007496482624
0.69625,-54.6726046798993
0.6985,-54.6445506544234
0.70075,-54.6165869847802
0.703,-54.5887130894884
0.70525,-54.5609283925671
0.7075,-54.5332323234652
0.70975,-54.5056243169909
0.712,-54.4781038132427
0.71425,-54.4506702575422
0.7165,-54.4233231003665
0.71875,-54.3960617972831
0.721,-54.3688858088846
0.72325,-54.3417946007258
0.7255,-54.3147876432603
0.72775,-54.2878644117789
0.73,-54.2610243863492
0.73225,-54.2342670517554
0.7345,-54.2075918974394
0.73675,-54.180998417443
0.739,-54.1544861103505
0.74125,-54.1280544792326
0.7435,-54.1017030315911
0.74575,-54.0754312793041
0.748,-54.0492387385723
0.75025,-54.0231249298662
0.7525,-53.9970893778737
0.75475,-53.9711316114492
0.757,-53.9452511635626
0.75925,-53.9194475712494
0.7615,-53.8937203755622
0.76375,-53.8680691215214
0.766,-53.8424933580684
0.76825,-53.8169926380181
0.7705,-53.7915665180131
0.77275,-53.7662145584774
0.775,-53.7409363235723
0.77725,-53.7157313811515
0.7795,-53.6905993027176
0.78175,-53.6655396633795
0.784,-53.6405520418095
0.78625,-53.6156360202018
0.7885,-53.5907911842312
0.79075,-53.5660171230127
0.793,-53.5413134290614
0.79525,-53.5166796982531
0.7975,-53.4921155297852
0.79975,-53.4676205261388
0.802,-53.4431942930406
0.80425,-53.4188364394258
0.8065,-53.3945465774013
0.80875,-53.3703243222097
0.811,-53.3461692921931
0.81325,-53.3220811087585
0.8155,-53.2980593963427
0.81775,-53.2741037823784
0.82,-53.25021389726
0.82225,-53.2263893743106
0.8245,-53.2026298497493
0.82675,-53.1789349626583
0.829,-53.1553043549518
0.83125,-53.1317376713435
0.8335,-53.1082345593163
0.83575,-53.0847946690916
0.838,-53.0614176535984
0.84025,-53.0381031684445
0.8425,-53.014850871886
0.84475,-52.9916604247993
0.847,-52.9685314906517
0.84925,-52.9454637354736
0.8515,-52.9224568278304
