"Freq [GHz]","dB(S(waveport1,antenna)) []"
2.2277575,-48.6986956302086
2.235255,-48.6688950243141
2.2427525,-48.6391880988287
2.25025,-48.6095742769714
2.2577475,-48.580052988923
2.265245,-48.5506236717206
2.2727425,-48.5212857691527
2.28024,-48.4920387316566
2.2877375,-48.4628820162161
2.295235,-48.4338150862606
2.3027325,-48.4048374115655
2.31023,-48.3759484681535
2.3177275,-48.3471477381974
2.325225,-48.3184347099236
2.3327225,-48.2898088775167
2.34022,-48.2612697410252
2.3477175,-48.2328168062685
2.355215,-48.2044495847444
2.3627125,-48.176167593538
2.37021,-48.1479703552312
2.3777075,-48.1198573978138
2.385205,-48.0918282545944
2.3927025,-48.0638824641136
2.4002,-48.0360195700571
2.4076975,-48.00823912117
2.415195,-47.980540671172
2.4226925,-47.9529237786735
2.43019,-47.9253880070923
2.4376875,-47.8979329245716
2.445185,-47.8705581038984
2.4526825,-47.8432631224228
2.46018,-47.8160475619782
2.4676775,-47.7889110088021
2.475175,-47.761853053458
2.4826725,-47.7348732907579
2.49017,-47.707971319685
2.4976675,-47.6811467433186
2.505165,-47.6543991687577
2.5126625,-47.6277282070473
2.52016,-47.6011334731041
2.5276575,-47.5746145856434
2.535155,-47.5481711671067
2.5426525,-47.5218028435899
2.55015,-47.4955092447724
2.5576475,-47.4692900038463
2.565145,-47.4431447574471
2.5726425,-47.4170731455843
2.58014,-47.3910748115732
2.5876375,-47.365149401967
2.595135,-47.33929656649
2.6026325,-47.3135159579707
2.61013,-47.2878072322763
2.6176275,-47.2621700482474
2.625125,-47.2366040676334
2.6326225,-47.2111089550287
2.64012,-47.1856843778093
2.6476175,-47.16033000607
2.655115,-47.1350455125625
2.6626125,-47.1098305726338
2.67011,-47.0846848641654
2.6776075,-47.0596080675131
2.685105,-47.0345998654472
2.6926025,-47.0096599430936
2.7001,-46.984787987875
2.7075975,-46.9599836894537
2.715095,-46.9352467396738
2.7225925,-46.9105768325045
2.73009,-46.8859736639843
2.7375875,-46.8614369321657
2.745085,-46.8369663370596
2.7525825,-46.8125615805817
2.76008,-46.7882223664984
2.7675775,-46.7639484003739
2.775075,-46.7397393895174
2.7825725,-46.7155950429314
2.79007,-46.6915150712602
2.7975675,-46.6674991867393
2.805065,-46.6435471031451
2.8125625,-46.6196585357451
2.82006,-46.5958332012495
2.8275575,-46.5720708177619
2.835055,-46.5483711047326
2.8425525,-46.5247337829103
2.85005,-46.5011585742963
2.8575475,-46.4776452020978
2.865045,-46.4541933906832
2.8725425,-46.4308028655364
2.88004,-46.4074733532133
2.8875375,-46.384204581298
2.895035,-46.3609962783594
2.9025325,-46.3378481739091
2.91003,-46.3147599983596
2.9175275,-46.291731482983
2.925025,-46.2687623598702
2.9325225,-46.2458523618914
2.94002,-46.2230012226563
2.9475175,-46.2002086764754
2.955015,-46.177474458322
2.9625125,-46.1547983037947
2.97001,-46.1321799490805
2.9775075,-46.1096191309181
2.985005,-46.0871155865631
2.9925025,-46.0646690537521
3,-46.0422792706692
