"Freq [GHz]","ang_rad(S(waveport1:1,1)) [rad]","ang_rad(S(waveport2:1,1)) [rad]"
12.7503625,-1.60607021316644,-0.0314945725878499
12.80036,-1.62793686314049,-0.0468631881265192
12.8503575,-1.64986132361974,-0.0622185613553133
12.900355,-1.671848166967,-0.0775598868340857
12.9503525,-1.69390248190618,-0.092886160784843
13.00035,-1.71602990968448,-0.108196202367911
13.0503475,-1.73823669866658,-0.123488658184529
13.100345,-1.76052977314156,-0.138761998759786
13.1503425,-1.78291681513737,-0.15401451162781
13.20034,-1.80540635948918,-0.169244294096162
13.2503375,-1.82800790327073,-0.184449248324639
13.300335,-1.85073203137009,-0.199627081435664
13.3503325,-1.87359056067481,-0.214775313708828
13.40033,-1.89659670616674,-0.229891298319959
13.4503275,-1.91976527335398,-0.244972256369986
13.500325,-1.94311288306557,-0.26001533083023
13.5503225,-1.96665823695305,-0.275017662075539
13.60032,-1.99042243544835,-0.289976485229927
13.6503175,-2.01442936495527,-0.304889244673008
13.700315,-2.03870617849494,-0.319753712518964
13.7503125,-2.06328390504739,-0.334568084292196
13.80031,-2.08819823913722,-0.349331005291382
13.8503075,-2.11349058629473,-0.364041455548174
13.900305,-2.13920947551506,-0.378698393694059
13.9503025,-2.1654125020218,-0.393300041590652
14.0003,-2.19216904020713,-0.40784270617042
14.0502975,-2.21956407879567,-0.422319125471936
14.100295,-2.24770369457751,-0.436716557569983
14.1502925,-2.27672292213269,-0.451015284652162
14.20029,-2.30679713262566,-0.46518894822333
14.2502875,-2.33815856580495,-0.479209164588626
14.300285,-2.37112047215294,-0.493058039958917
14.3502825,-2.40611262833644,-0.50675311450731
14.40028,-2.44373428524771,-0.520389173814788
14.4502775,-2.48483526259,-0.534199102903992
14.500275,-2.5306471841965,-0.548630377870727
14.5502725,-2.58301920665014,-0.564428493679129
14.60027,-2.64491816103281,-0.582748562961843
14.6502675,-2.72173429678043,-0.605571588150084
14.700265,-2.82548562288796,-0.638121458789822
14.7502625,-2.99177404032777,-0.702974068132615
14.80026,2.9080582867561,-0.933823375049561
14.8502575,1.53855581656239,-2.01255066932028
14.900255,-0.116065258379751,-2.87598971891821
14.9502525,-1.80332714107877,-1.54496559174436
15.00025,-2.58589247356455,-1.39790883826031
15.0502475,-2.69168814285449,-1.33544542228335
15.100245,-2.72401510441652,-1.29999029983029
15.1502425,-2.74109343115439,-1.2792859356383
