"Freq [GHz]","dB(S(waveport1:1,1)) []"
18.40008,-18.7433310624565
18.4500775,-18.7021749858278
18.500075,-18.6609523365616
18.5500725,-18.6196545978095
18.60007,-18.5782734640209
18.6500675,-18.5368008149194
18.700065,-18.4952286908044
18.7500625,-18.4535492690714
18.80006,-18.4117548418598
18.8500575,-18.3698377947478
18.900055,-18.3277905864279
18.9500525,-18.2856057293066
19.00005,-18.2432757709844
19.0500475,-18.20079327658
19.100045,-18.1581508118746
19.1500425,-18.1153409272606
19.20004,-18.0723561424881
19.2500375,-18.0291889322137
19.300035,-17.9858317123613
19.3500325,-17.9422768273192
19.40003,-17.8985165380009
19.4500275,-17.8545430108141
19.500025,-17.8103483075614
19.5500225,-17.7659243764236
19.60002,-17.7212630439143
19.6500175,-17.6763560080962
19.700015,-17.6311948330018
19.7500125,-17.5857709444203
19.80001,-17.5400756271536
19.8500075,-17.4941000238702
19.900005,-17.4478351356966
19.9500025,-17.4012718247025
20,-17.3544008184504

