"Freq [GHz]","dB(S(waveport1:1,waveport3:1)) []","dB(S(waveport1:1,waveport2:1)) []","dB(S(waveport1:1,waveport4:1)) []","ang_rad(S(waveport1:1,waveport3:1)) [rad]","ang_rad(S(waveport1:1,waveport2:1)) [rad]","ang_rad(S(waveport1:1,waveport4:1)) [rad]"
0.66078,-51.0402132681639,-8.01344134342063E-05,-58.8657629154429,0.183296688663361,-1.38635773558517,0.177020755072976
0.6682775,-50.9425263547738,-8.17818777109037E-05,-58.7673199597956,0.167555461302204,-1.40208801817845,0.161221622299845
0.675775,-50.8459359362644,-8.34414707284122E-05,-58.6699628307809,0.151814286038101,-1.41781830316849,0.145422911898396
0.6832725,-50.7504178741138,-8.51130806151725E-05,-58.573667329467,0.136073162731565,-1.43354859060121,0.129624623733744
0.69077,-50.6559488197339,-8.67965987272254E-05,-58.4784100467718,0.12033209122379,-1.44927888052288,0.113826757540432
0.6982675,-50.5625061803604,-8.84919196925733E-05,-58.384168329369,0.104591071336664,-1.46500917298023,0.0980293129225633
0.705765,-50.4700680867646,-9.0198941463256E-05,-58.290920247415,0.0888501028727969,-1.48073946802034,0.0822322893539631
0.7132625,-50.3786133626715,-9.19175653587476E-05,-58.1986445639827,0.0731091856155503,-1.4964697656907,0.0664356861783797
0.72076,-50.2881214957765,-9.3647696131534E-05,-58.1073207060945,0.0573683193290689,-1.51220006603919,0.0506395026097302
0.7282575,-50.1985726102628,-9.5389241983508E-05,-58.0169287372545,0.0416275037583238,-1.52793036911406,0.0348437377323756
0.735755,-50.1099474407261,-9.71421146247971E-05,-57.927449331389,0.0258867386291558,-1.54366067496392,0.0190483905014456
0.7432525,-50.0222273074207,-9.89062293007663E-05,-57.838863748108,0.0101460236483243,-1.55939098363778,0.00325345974319099
0.75075,-49.9353940927492,-0.000100681504830595,-57.7511538092107,-0.00559464149643365,-1.57512129518497,-0.0125410558446207
0.7582475,-49.8494302189195,-0.000102467863625601,-57.6643018763575,-0.0213352571363458,-1.59085160965521,-0.0283351576922725
0.765745,-49.7643186267018,-0.000104265231736498,-57.5782908298424,-0.0370758236215365,-1.60658192709855,-0.04412884735763
0.7732425,-49.6800427552201,-0.000106073538862074,-57.4931040484002,-0.0528163413209585,-1.62231224756537,-0.0599221265256374
0.78074,-49.5965865227198,-0.00010789271836752,-57.4087253899885,-0.0685568106223153,-1.63804257110642,-0.0757149970077714
0.7882375,-49.5139343082534,-0.000109722707310467,-57.3251391734895,-0.0842972319319822,-1.65377289777275,-0.0915074607414679
0.795735,-49.4320709342339,-0.000111563446458351,-57.2423301612777,-0.10003760567492,-1.66950322761573,-0.107299519789505
0.8032325,-49.3509816498061,-0.000113414880282627,-57.1602835426068,-0.115777932294586,-1.68523356068707,-0.123091176339354
0.81073,-49.270652114991,-0.000115276956988666,-57.0789849177687,-0.13151821225284,-1.70096389703877,-0.138882432702498
0.8182275,-49.1910683855595,-0.000117149628507085,-56.998420282982,-0.147258446029842,-1.71669423672313,-0.154673291313712
0.825725,-49.1122168985963,-0.000119032850498566,-56.9185760159709,-0.162998634123952,-1.73242457979277,-0.170463754730305
0.8332225,-49.0340844587168,-0.000120926582352895,-56.8394388621965,-0.17873877705162,-1.74815492630056,-0.186253825631343
0.84072,-48.9566582249007,-0.000122830787194759,-56.7609959217054,-0.194478875347275,-1.76388527629969,-0.202043506816817
0.8482175,-48.8799256979108,-0.00012474543185481,-56.6832346365624,-0.210218929563206,-1.7796156298436,-0.217832801206801
0.855715,-48.8038747082653,-0.000126670486893783,-56.6061427788375,-0.225958940269441,-1.795345986986,-0.233621711840555
0.8632125,-48.7284934047348,-0.000128605926561997,-56.5297084391171,-0.241698908053625,-1.81107634778089,-0.249410241875618
0.87071,-48.6537702433367,-0.000130551728786819,-56.4539200155129,-0.257438833520886,-1.82680671228249,-0.265198394586844
0.8782075,-48.5796939768018,-0.000132507875178459,-56.3787662031418,-0.273178717293705,-1.84253708054528,-0.280986173365435
0.885705,-48.5062536444888,-0.000134474350987537,-56.3042359840548,-0.288918560011777,-1.85826745262398,-0.296773581717914
0.8932025,-48.4334385627231,-0.000136451145086769,-56.2303186175898,-0.304658362331868,-1.87399782857356,-0.312560623265095
0.9007,-48.3612383155409,-0.000138438249958434,-56.1570036311287,-0.320398124927675,-1.8897282084492,-0.328347301741001
0.9081975,-48.2896427458156,-0.000140435661649049,-56.084280811238,-0.33613784848967,-1.9054585923063,-0.34413362099176
0.915695,-48.2186419467501,-0.000142443379747202,-56.0121401951744,-0.351877533724952,-1.9211889802005,-0.359919584974479
0.9231925,-48.1482262537156,-0.000144461407363295,-55.9405720627363,-0.367617181357091,-1.93691937218761,-0.375705197756078
0.93069,-48.0783862364207,-0.000146489751085197,-55.8695669284468,-0.383356792125965,-1.95264976832367,-0.391490463512103
0.9381875,-48.0091126913944,-0.000148528420925202,-55.7991155340495,-0.3990963667876,-1.9683801686649,-0.407275386525507
0.945685,-47.9403966347692,-0.000150577430321004,-55.7292088413038,-0.414835906114,-1.98411057326772,-0.423059971185405
0.9531825,-47.8722292953479,-0.000152636796062404,-55.6598380250653,-0.430575410892978,-1.99984098218873,-0.4388442219858
0.96068,-47.8046021079433,-0.000154706538263356,-55.5909944666378,-0.446314881927984,-2.0155713954847,-0.454628143524294
0.9681775,-47.7375067069765,-0.000156786680318568,-55.5226697473836,-0.462054320037928,-2.03130181321257,-0.470411740500753
0.975675,-47.6709349203217,-0.000158877248850473,-55.4548556425808,-0.477793726056999,-2.04703223542945,-0.48619501771596
0.9831725,-47.6048787633874,-0.000160978273671621,-55.3875441155169,-0.493533100834481,-2.0627626621926,-0.501977980070246
0.99067,-47.539330433422,-0.000163089787738394,-55.3207273118055,-0.509272445234572,-2.07849309355943,-0.517760632562083
0.9981675,-47.4742823040342,-0.000165211827088331,-55.2543975539193,-0.525011760136189,-2.0942235295875,-0.533542980286666
1.005665,-47.4097269199185,-0.000167344430802518,-55.1885473359269,-0.54075104643278,-2.10995397033452,-0.549325028434461
1.0131625,-47.3456569917772,-0.000169487640950628,-55.1231693184257,-0.556490305032133,-2.12568441585831,-0.565106782289739
1.02066,-47.2820653914285,-0.000171641502529207,-55.058256323662,-0.572229536856169,-2.14141486621684,-0.580888247229082
1.0281575,-47.2189451470947,-0.000173806063414423,-54.9938013308298,-0.58796874284075,-2.15714532146819,-0.596669428719866
1.035655,-47.1562894388613,-0.000175981374315784,-54.9297974715407,-0.603707923935477,-2.17287578167056,-0.612450332318728
1.0431525,-47.0940915942997,-0.000178167488713455,-54.8662380254576,-0.619447081103478,-2.18860624688226,-0.628230963670006
1.05065,-47.032345084247,-0.000180364462797515,-54.8031164160848,-0.635186215321206,-2.20433671716172,-0.644011328504159
1.0581475,-46.9710435187357,-0.000182572355411059,-54.740426206708,-0.65092532757823,-2.22006719256744,-0.659791432636171
1.065645,-46.9101806430675,-0.000184791228014525,-54.678161096478,-0.666664418877018,-2.23579767315805,-0.675571281963934
1.0731425,-46.8497503340239,-0.000187021144592153,-54.616314916632,-0.682403490232724,-2.25152815899226,-0.691350882466605
1.08064,-46.7897465962101,-0.000189262171632704,-54.5548816268461,-0.698142542672974,-2.26725865012884,-0.707130240202953
1.0881375,-46.730163558524,-0.000191514378045565,-54.4938553117148,-0.713881577237644,-2.2829891466267,-0.722909361309687
1.095635,-46.6709954707474,-0.000193777835107716,-54.4332301773507,-0.729620594978638,-2.29871964854476,-0.738688251999759
1.1031325,-46.6122367002528,-0.000196052616426121,-54.3730005481013,-0.745359596959668,-2.31445015594206,-0.754466918560656
