"Freq [GHz]","dB(S(waveport1,antenna)) []"
1.0731425,-47.8107536814508
1.08064,-47.7542225780529
1.0881375,-47.6981300428121
1.095635,-47.6424702182466
1.1031325,-47.5872373644657
1.11063,-47.5324258559993
1.1181275,-47.478030178735
1.125625,-47.4240449269577
1.1331225,-47.3704648004877
1.14062,-47.3172846019137
1.1481175,-47.2644992339165
1.155615,-47.2121036966804
1.1631125,-47.1600930853886
1.17061,-47.1084625877993
1.1781075,-47.0572074818991
1.185605,-47.0063231336319
1.1931025,-46.955804994699
1.2006,-46.9056486004288
1.2080975,-46.8558495677126
1.215595,-46.8064035930053
1.2230925,-46.7573064503867
1.23059,-46.7085539896836
1.2380875,-46.6601421346481
1.245585,-46.6120668811913
1.2530825,-46.5643242956712
1.26058,-46.5169105132304
1.2680775,-46.4698217361842
1.275575,-46.4230542324564
1.2830725,-46.3766043340611
1.29057,-46.3304684356282
1.2980675,-46.2846429929731
1.305565,-46.2391245217063
1.3130625,-46.1939095958846
1.32056,-46.1489948466989
1.3280575,-46.1043769612015
1.335555,-46.0600526810671
1.3430525,-46.0160188013909
1.35055,-45.9722721695181
1.3580475,-45.9288096839078
1.365545,-45.8856282930271
1.3730425,-45.8427249942758
1.38054,-45.800096832941
1.3880375,-45.7577409011795
1.395535,-45.7156543370283
1.4030325,-45.6738343234409
1.41053,-45.6322780873501
1.4180275,-45.5909828987553
1.425525,-45.5499460698344
1.4330225,-45.5091649540783
1.44052,-45.4686369454486
1.4480175,-45.4283594775574
1.455515,-45.3883300228673
1.4630125,-45.3485460919136
1.47051,-45.3090052325448
1.4780075,-45.2697050291833
1.485505,-45.230643102105
1.4930025,-45.1918171067362
1.5005,-45.1532247329691
1.5079975,-45.1148637044937
1.515495,-45.0767317781463
1.5229925,-45.0388267432746
1.53049,-45.0011464211176
1.5379875,-44.9636886642016
1.545485,-44.9264513557496
1.5529825,-44.8894324091063
1.56048,-44.8526297671757
1.5679775,-44.8160414018733
1.575475,-44.7796653135903
1.5829725,-44.7434995306711
1.59047,-44.7075421089029
1.5979675,-44.6717911310171
1.605465,-44.6362447062025
1.6129625,-44.6009009696298
1.62046,-44.5657580819869
1.6279575,-44.5308142290249
1.635455,-44.4960676211144
1.6429525,-44.4615164928119
1.65045,-44.4271591024361
1.6579475,-44.3929937316535
1.665445,-44.3590186850734
1.6729425,-44.3252322898518
1.68044,-44.2916328953038
1.6879375,-44.2582188725254
1.695435,-44.2249886140224
1.7029325,-44.1919405333478
1.71043,-44.1590730647478
1.7179275,-44.126384662814
1.725425,-44.0938738021443
1.7329225,-44.0615389770104
1.74042,-44.0293787010321
1.7479175,-43.9973915068591
1.755415,-43.9655759458591
1.7629125,-43.9339305878123
1.77041,-43.9024540206124
1.7779075,-43.8711448499737
1.785405,-43.8400016991444
1.7929025,-43.8090232086251
1.8004,-43.7782080358939
1.8078975,-43.7475548551361
1.815395,-43.7170623569804
1.8228925,-43.686729248239
1.83039,-43.6565542516541
1.8378875,-43.626536105649
1.845385,-43.5966735640834
1.8528825,-43.5669653960145
1.86038,-43.5374103854618
1.8678775,-43.5080073311775
1.875375,-43.47875504642
1.8828725,-43.449652358733
1.89037,-43.4206981097276
1.8978675,-43.3918911548695
1.905365,-43.3632303632695
1.9128625,-43.3347146174782
1.92036,-43.3063428132846
1.9278575,-43.2781138595181
1.935355,-43.2500266778541
1.9428525,-43.2220802026239
1.95035,-43.1942733806266
1.9578475,-43.1666051709459
1.965345,-43.1390745447694
1.9728425,-43.1116804852108
1.98034,-43.0844219871361
1.9878375,-43.0572980569922
1.995335,-43.0303077126384
2.0028325,-43.0034499831818
2.01033,-42.9767239088141
2.0178275,-42.9501285406526
2.025325,-42.9236629405827
2.0328225,-42.8973261811038
2.04032,-42.8711173451779
2.0478175,-42.8450355260801
2.055315,-42.8190798272522
2.0628125,-42.7932493621583
2.07031,-42.7675432541435
2.0778075,-42.7419606362948
2.085305,-42.7165006513052
2.0928025,-42.6911624513451
2.1003,-42.6659451979656
2.1077975,-42.6408480629624
2.115295,-42.6158702215213
2.1227925,-42.5910108681237
2.13029,-42.5662691977682
2.1377875,-42.5416444168557
2.145285,-42.5171357402398
2.1527825,-42.4927423912185
2.16028,-42.46846360143
2.1677775,-42.44429861074
2.175275,-42.4202466671289
2.1827725,-42.3963070265801
2.19027,-42.37247895297
2.1977675,-42.3487617179595
2.205265,-42.3251546008865
2.2127625,-42.301656888661
2.22026,-42.2782678756605
2.2277575,-42.2549868636281
2.235255,-42.2318131615712
2.2427525,-42.2087460856621
2.25025,-42.1857849591396
2.2577475,-42.1629291122127
2.265245,-42.1401778819647
2.2727425,-42.1175306122597
2.28024,-42.0949866536492
2.2877375,-42.0725453632813
2.295235,-42.0502061048102
2.3027325,-42.0279682483069
2.31023,-42.0058311701722
