Freq [GHz],"dB(S(waveport1,antenna)) []"
0.7650235,-38.5066060022135
0.76752325,-38.4843921878352
0.770023,-38.4622808007
0.77252275,-38.4402711776874
0.7750225,-38.4183626615889
0.77752225,-38.3965546010353
0.780022,-38.3748463504237
0.78252175,-38.353237269847
0.7850215,-38.3317267250235
0.78752125,-38.3103140872288
0.790021,-38.2889987332271
0.79252075,-38.2677800452055
0.7950205,-38.2466574107077
0.79752025,-38.2256302225701
0.80002,-38.2046978788575
0.80251975,-38.1838597828011
0.8050195,-38.1631153427369
0.80751925,-38.1424639720448
0.810019,-38.1219050890889
0.81251875,-38.1014381171593
0.8150185,-38.0810624844134
0.81751825,-38.0607776238196
0.820018,-38.040582973101
0.82251775,-38.0204779746799
0.8250175,-38.0004620756238
0.82751725,-37.9805347275916
0.830017,-37.9606953867807
0.83251675,-37.9409435138754
0.8350165,-37.9212785739951
0.83751625,-37.9017000366447
0.840016,-37.8822073756639
0.84251575,-37.8628000691791
0.8450155,-37.8434775995548
0.84751525,-37.8242394533462
0.850015,-37.8050851212522
0.85251475,-37.7860140980693
0.8550145,-37.7670258826465
0.85751425,-37.74811997784
0.860014,-37.7292958904695
0.86251375,-37.7105531312742
0.8650135,-37.6918912148704
0.86751325,-37.6733096597092
0.870013,-37.6548079880342
0.87251275,-37.6363857258414
0.8750125,-37.6180424028381
0.87751225,-37.599777552403
0.880012,-37.5815907115472
0.88251175,-37.5634814208751
0.8850115,-37.5454492245464
0.88751125,-37.5274936702382
0.890011,-37.5096143091078
0.89251075,-37.4918106957565
0.8950105,-37.4740823881927
0.89751025,-37.4564289477971
0.90001,-37.4388499392867
0.90250975,-37.4213449306807
0.9050095,-37.4039134932663
0.90750925,-37.3865552015645
0.910009,-37.3692696332975
0.91250875,-37.3520563693552
0.9150085,-37.3349149937633
0.91750825,-37.3178450936512
0.920008,-37.3008462592207
0.92250775,-37.2839180837145
0.9250075,-37.2670601633858
0.92750725,-37.2502720974682
0.930007,-37.2335534881454
0.93250675,-37.2169039405222
0.9350065,-37.2003230625952
0.93750625,-37.1838104652241
0.940006,-37.1673657621034
0.94250575,-37.1509885697347
0.9450055,-37.1346785073987
0.94750525,-37.1184351971283
0.950005,-37.1022582636817
0.95250475,-37.0861473345158
0.9550045,-37.0701020397601
0.95750425,-37.0541220121906
0.960004,-37.038206887205
0.96250375,-37.0223563027965
0.9650035,-37.00656989953
0.96750325,-36.9908473205166
0.970003,-36.9751882113902
0.97250275,-36.9595922202829
0.9750025,-36.9440589978018
0.97750225,-36.9285881970056
0.980002,-36.9131794733815
0.98250175,-36.8978324848222
0.9850015,-36.882546891604
0.98750125,-36.8673223563643
0.990001,-36.8521585440794
0.99250075,-36.8370551220435
0.9950005,-36.8220117598469
0.99750025,-36.8070281293547
1,-36.7921039046865
