"Freq [GHz]","atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))) [deg]","re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))_1 []"
0.8032325,-89.9971144677863,1445.14015718088
0.81073,-89.9970873027077,1431.6862777895
0.8182275,-89.9970601315351,1418.4781295273
0.825725,-89.9970329542241,1405.50901864574
0.8332225,-89.9970057707299,1392.77249232189
0.84072,-89.9969785810081,1380.26232791564
0.8482175,-89.9969513850141,1367.97252279659
0.855715,-89.9969241827033,1355.89728470581
0.8632125,-89.996896974032,1344.03102261983
0.87071,-89.9968697589551,1332.36833808668
0.8782075,-89.9968425374284,1320.90401700566
0.885705,-89.9968153094078,1309.63302182472
0.8932025,-89.9967880748485,1298.55048413069
0.9007,-89.9967608337063,1287.65169760971
0.9081975,-89.9967335859373,1276.93211135625
0.915695,-89.9967063314962,1266.38732351086
0.9231925,-89.9966790703392,1256.01307520798
0.93069,-89.9966518024216,1245.80524481623
0.9381875,-89.9966245276987,1235.75984245488
0.945685,-89.9965972461261,1225.87300477119
0.9531825,-89.9965699576591,1216.14098996423
0.96068,-89.9965426622526,1206.56017304168
0.9681775,-89.9965153598621,1197.12704129702
0.975675,-89.9964880504422,1187.83818999534
0.9831725,-89.9964607339485,1178.69031825638
0.99067,-89.9964334103353,1169.68022512469
0.9981675,-89.9964060795573,1160.80480581678
1.005665,-89.9963787415695,1152.06104813618
1.0131625,-89.9963513963257,1143.44602904769
1.02066,-89.9963240437807,1134.95691140257
1.0281575,-89.9962966838885,1126.59094080707
1.035655,-89.996269316603,1118.34544262697
1.0431525,-89.996241941878,1110.21781912123
1.05065,-89.996214559667,1102.20554669844
1.0581475,-89.9961871699236,1094.3061732899
1.065645,-89.996159772601,1086.51731583355
1.0731425,-89.9961323676522,1078.83665786339
1.08064,-89.99610495503,1071.26194719929
1.0881375,-89.996077534687,1063.79099373223
1.095635,-89.9960501065756,1056.42166730054
1.1031325,-89.9960226706478,1049.1518956527
1.11063,-89.9959952268556,1041.97966249271
1.1181275,-89.9959677751506,1034.903005604
1.125625,-89.9959403154842,1027.92001504845
1.1331225,-89.9959128478075,1021.0288314368
1.14062,-89.9958853720713,1014.2276442673
1.1481175,-89.9958578882263,1007.51469032952
1.155615,-89.9958303962228,1000.8882521702
1.1631125,-89.9958028960105,994.34665661847
1.17061,-89.9957753875395,987.888273367798
1.1781075,-89.9957478707589,981.511513611992
1.185605,-89.9957203456178,975.214828733026
1.1931025,-89.995692812065,968.996709038312
1.2006,-89.9956652700489,962.855682545286
1.2080975,-89.9956377195179,956.79031381126
1.215595,-89.9956101604194,950.799202806567
1.2230925,-89.995582592701,944.88098382916
1.23059,-89.9955550163097,939.034324458882
1.2380875,-89.9955274311924,933.257924549737
1.245585,-89.9954998372953,927.55051525855
1.2530825,-89.9954722345645,921.910858108503
1.26058,-89.9954446229457,916.337744086087
1.2680775,-89.9954170023843,910.829992770087
1.275575,-89.995389372825,905.386451491293
1.2830725,-89.9953617342125,900.005994521659
1.29057,-89.9953340864908,894.687522291736
1.2980675,-89.9953064296039,889.429960635222
1.305565,-89.995278763495,884.232260059537
1.3130625,-89.9952510881072,879.093395041398
1.32056,-89.9952234033832,874.012363346378
1.3280575,-89.9951957092649,868.988185371525
1.335555,-89.9951680056945,864.019903510114
1.3430525,-89.9951402926131,859.10658153768
1.35055,-89.9951125699618,854.247304018503
1.3580475,-89.9950848376812,849.441175731752
1.365545,-89.9950570957115,844.68732111653
1.3730425,-89.9950293439927,839.984883735107
1.38054,-89.9950015824637,835.333025753637
1.3880375,-89.9949738110638,830.730927439709
1.395535,-89.9949460297316,826.177786676093
1.4030325,-89.9949182384051,821.672818490077
1.41053,-89.994890437022,817.215254597811
1.4180275,-89.9948626255197,812.804342963114
1.425525,-89.9948348038352,808.439347370191
1.4330225,-89.9948069719047,804.119547009778
1.44052,-89.9947791296646,799.844236078198
1.4480175,-89.9947512770504,795.612723388882
1.455515,-89.9947234139974,791.424331995888
1.4630125,-89.9946955404405,787.278398829005
1.47051,-89.9946676563142,783.174274340014
1.4780075,-89.9946397615526,779.111322159715
1.485505,-89.9946118560891,775.088918765344
1.4930025,-89.9945839398573,771.106453158005
1.5005,-89.9945560127899,767.163326549782
1.5079975,-89.9945280748194,763.258952060173
1.515495,-89.9945001258779,759.39275442154
1.5229925,-89.9944721658971,755.564169693266
1.53049,-89.9944441948083,751.7726449843
1.5379875,-89.9944162125428,748.017638183828
1.545485,-89.9943882190307,744.298617699777
1.5529825,-89.9943602142026,740.6150622049
1.56048,-89.9943321979883,736.966460390171
1.5679775,-89.9943041703172,733.352310725269
1.575475,-89.9942761311186,729.772121225884
1.5829725,-89.9942480803213,726.225409227649
1.59047,-89.9942200178538,722.711701166462
1.5979675,-89.9941919436443,719.230532364987
1.605465,-89.9941638576207,715.781446825147
1.6129625,-89.9941357597105,712.363997026392
1.62046,-89.994107649841,708.977743729582
1.6279575,-89.994079527939,705.622255786272
1.635455,-89.9940513939313,702.297109953257
1.6429525,-89.9940232477444,699.001890712189
1.65045,-89.9939950893042,695.736190094108
1.6579475,-89.9939669185365,692.499607508738
1.665445,-89.9939387353673,689.291749578394
1.6729425,-89.9939105397215,686.112229976349
1.68044,-89.9938823315245,682.960669269535
1.6879375,-89.9938541107012,679.836694765433
1.695435,-89.9938258771762,676.739940363026
1.7029325,-89.993797630874,673.670046407683
1.71043,-89.9937693717189,670.626659549872
1.7179275,-89.9937410996352,667.609432607561
1.725425,-89.9937128145467,664.618024432212
1.7329225,-89.9936845163773,661.652099778253
1.74042,-89.9936562050506,658.711329175921
1.7479175,-89.9936278804902,655.795388807378
1.755415,-89.9935995426197,652.903960386008
1.7629125,-89.9935711913621,650.036731038782
1.77041,-89.9935428266409,647.193393191624
1.7779075,-89.9935144483791,644.373644457667
1.785405,-89.9934860564999,641.577187528333
1.7929025,-89.9934576509263,638.80373006714
1.8004,-89.9934292315815,636.052984606163
1.8078975,-89.9934007983883,633.324668445073
1.815395,-89.9933723512698,630.618503552678
1.8228925,-89.9933438901489,627.934216470891
1.83039,-89.9933154149487,625.27153822106
1.8378875,-89.9932869255923,622.630204212593
