"Freq [GHz]","dB(S(waveport1:1,1)) []"
14.5502725,-38.6254533485921
14.60027,-38.6054604753081
14.6502675,-38.5852278407152
14.700265,-38.5646016552515
14.7502625,-38.5434520496443
14.80026,-38.5221765204376
14.8502575,-38.5047550059895
14.900255,-38.5064873664064
14.9502525,-38.514825421069
15.00025,-38.4981337548577
15.0502475,-38.4748200132184
15.100245,-38.4522571229688
15.1502425,-38.4309005452817
15.20024,-38.4104052153211
15.2502375,-38.3904829903194
15.300235,-38.370948943936
15.3502325,-38.351687958554
15.40023,-38.3326274628462
15.4502275,-38.3137206668648
15.500225,-38.2949366679653
15.5502225,-38.2762545697579
15.60022,-38.2576599173962
15.6502175,-38.2391424909589
15.700215,-38.2206949110892
15.7502125,-38.2023117416654
15.80021,-38.1839889025789
15.8502075,-38.1657232795211
15.900205,-38.1475124609386
15.9502025,-38.129354558251
16.0002,-38.1112480812861
16.0501975,-38.0931918507676
16.100195,-38.0751849359386
16.1501925,-38.0572266094133
16.20019,-38.0393163139538
16.2501875,-38.0214536375817
16.300185,-38.0036382945698
16.3501825,-37.9858701106211
16.40018,-37.9681490110596
16.4501775,-37.9504750112069
16.500175,-37.9328482083622
16.5501725,-37.9152687749706
16.60017,-37.8977369526819
16.6501675,-37.8802530470851
16.700165,-37.8628174229621
16.7501625,-37.8454304999581
16.80016,-37.8280927483828
16.8501575,-37.8108046859957
16.900155,-37.7935668736393
16.9501525,-37.7763799124558
17.00015,-37.7592444404383
17.0501475,-37.7421611293415
17.100145,-37.7251306816847
17.1501425,-37.7081538278525
17.20014,-37.691231323286
17.2501375,-37.6743639457576
17.300135,-37.6575524927232
17.3501325,-37.6407977787478
17.40013,-37.6241006330016
17.4501275,-37.6074618968223
17.500125,-37.5908824213425
17.5501225,-37.5743630651798
17.60012,-37.5579046921878
17.6501175,-37.5415081692665
17.700115,-37.5251743642312
17.7501125,-37.5089041437382
17.80011,-37.4926983712657
17.8501075,-37.4765579051506
17.900105,-37.4604835966778
17.9501025,-37.4444762882226
18.0001,-37.4285368114448
18.0500975,-37.4126659855331
18.100095,-37.3968646154995
18.1500925,-37.3811334905222
18.20009,-37.3654733823364
18.2500875,-37.349885043672
18.300085,-37.3343692067376
18.3500825,-37.3189265817494
18.40008,-37.3035578555046
18.4500775,-37.288263689999
18.500075,-37.2730447210872
18.5500725,-37.257901557185
18.60007,-37.2428347780141
18.6500675,-37.2278449333877
18.700065,-37.212932542037
18.7500625,-37.1980980904773
18.80006,-37.1833420319153
18.8500575,-37.1686647851949
18.900055,-37.1540667337824
18.9500525,-37.1395482247911
19.00005,-37.1251095680449
19.0500475,-37.1107510351803
19.100045,-37.0964728587872
19.1500425,-37.0822752315887
19.20004,-37.0681583056593
19.2500375,-37.0541221916822
19.300035,-37.0401669582454
19.3500325,-37.0262926311769
19.40003,-37.012499192919
19.4500275,-36.9987865819349
19.500025,-36.9851546922084
19.5500225,-36.9716033726327
19.60002,-36.9581324266627
19.6500175,-36.9447416118225
19.700015,-36.931430639337
19.7500125,-36.918199173789
19.80001,-36.9050468328176
19.8500075,-36.8919731868583
19.900005,-36.8789777589265
19.9500025,-36.8660600244426
20,-36.853219411101
